slice,n_samples,H_freq_nats,H_freq_pct_of_max,peak_freq_bin,peak_freq_hz,freq_center_of_mass_hz,H_time_nats,H_time_pct_of_max,time_center_of_mass_frame,JSD_freq_vs_sonics_val,JSD_time_vs_sonics_val
sonics_val,50,4.841339184723834,0.9977965761517847,11,711.1811023622048,3712.068926513484,8.227748520812252,0.9997534284240405,1898.3541597435026,0.0,0.0
fma_test,50,4.85008133156296,0.9995983264220032,6,397.00787401574803,3871.0454568979594,8.206412574617968,0.997160898365246,2027.3375295969977,0.0010710247690543192,0.005699893707404473
fmc_natural,50,4.849279425639718,0.9994330541793289,127,8000.0,4127.438683718838,8.209989742739628,0.9975955599357392,1873.9091585698843,0.0043511776304725885,0.005830371180441991
fmc_encoded,50,4.848813512912562,0.9993370298963353,127,8000.0,4116.542266325499,8.212477961801028,0.9978979033448763,1886.8349951250475,0.0043658479607150726,0.005552328454537117
